AQUAMETRIX,AQUAMETRIX,,COMPSET1
AQUAMETRO,AQUAMETRO (CONTOIL),,COMPSET1
AQUAPURE,AQUAPURE,,COMPSET1
AQUATROL,"AQUATROL, INC",,COMPSET1
AR-SERV,AR SERVICES,,COMPSET1
ARANI,ARANI SYSTEMS CORP.,,COMPSET1
ARBILL,ARBILL,,COMPSET1
ARCAIR,ARCAIR,,COMPSET1
ARCH-ENVI,"ARCH ENVIRONMENTAL EQUIPMENT, INC",,COMPSET1
ARCHER,ARCHER,,COMPSET1
ARCO-ELEC,ARCO ELECTRIC,,COMPSET1
ARCTEC,ARCTEC ALLOYS,,COMPSET1
AREMCO,"AREMCO PRODUCTS, INC",,COMPSET1
ARGONICS,ARGONICS,,COMPSET1
ARI-ARMA,ARI ARMATUREN (GERMANY),,COMPSET1
ARLINGTON,ARLINGTON,,COMPSET1
ARMS-PUMP,ARMSTRONG PUMPS,,COMPSET1
ARMSTRONG,ARMSTRONG,,COMPSET1
ARMTEC,ARMTEC,,COMPSET1
ARO,ARO,,COMPSET1
ARPAC,ARPAC,,COMPSET1
ARRO-PNEU,ARROW PNEUMATICS,,COMPSET1
ARROW,ARROWHART,,COMPSET1
ARROWLINE,ARROWLINE,,COMPSET1
ARTIC-FOX,ARTIC FOX,,COMPSET1
ASAHI,ASAHI-AMERICA,,COMPSET1
ASB-HEAT,ASB HEATING ELEMENTS,,COMPSET1
ASBURY,ASBURY CARBONS (DIXON),,COMPSET1
ASCO,ASCO VALVE,,COMPSET1
ASCON,ASCON,,COMPSET1
ASGCO,ASGCO MANUFACTURING,,COMPSET1
ASHCROFT,ASHCROFT SWITCHES,,COMPSET1
ASHL-CNVY,ASHLAND CONVEYOR,,COMPSET1
ASHL-PUMP,ASHLAND PUMP,,COMPSET1
ASHLAND,ASHLAND INC (VALVOLINE),,COMPSET1
ASHWORTH,ASHWORTH,,COMPSET1
ASIMETO,ASIMETO,,COMPSET1
ASKUBAL,ASK KUGELLAGERFABRIK ARTUR SEYFERT GMBH,,COMPSET1
ASM-SENS,ASM SENSOR,,COMPSET1
ASS,ASS Maschinenbau GmbH,,COMPSET1
ASSA-ABLO,ASSA ABLOY GROUP,,COMPSET1
ASSINCK,ASSINCK LTD,,COMPSET1
ASSO-COMB,ASSOCIATED COMBUSTION,,COMPSET1
ASSO-EQUI,ASSOCIATED EQUIPMENT CORP. IND’L PROD.,,COMPSET1
ASSU-AUTO,ASSURED AUTOMATION,,COMPSET1
ASTEC,ASTEC,,COMPSET1
ASTECH,ASTECH (HITECH TECHNOLOGIES),,COMPSET1
ASTRONOVA,ASTRONOVA QUICKLABEL,,COMPSET1
ASV-STUBBE,ASV-STUBBE,,COMPSET1
AT-MONITORS,A.T. MONITORS,,COMPSET1
ATAGO,ATAGO CO.,,COMPSET1
ATC-FROST,ATC-FROST MAGNETICS INC,,COMPSET1
ATEN,ATEN,,COMPSET1
ATF-AUTOMATION,Automazioni Tessili Frigerio,,COMPSET1
ATG-GLOV,ATG GLOVE SOLUTIONS,,COMPSET1
ATKI-DYNA,ATKINSON DYNAMICS,,COMPSET1
ATLA-ABRA,ATLAS ABRASIVES,,COMPSET1
ATLA-GRAH,ATLAS GRAHAM,,COMPSET1
ATLA-LIGH,ATLAS LIGHTING PRODUCTS,,COMPSET1
ATLA-SHOE,ATLAS - The Shoe Company,,COMPSET1
ATLA-WORK,ATLAS WORKHOLDING,,COMPSET1
ATLAS,ATLAS,,COMPSET1
ATLAS-COPCO,ATLAS COPCO,,COMPSET1
ATLAS-MAT,ATLAS MATERIAL TESTING SOLUTIONS,,COMPSET1
ATLAS-PARK,ATLAS (DIV OF PARKER),,COMPSET1
ATOS,ATOS,,COMPSET1
ATRA-FLEX,ATRA-FLEX,,COMPSET1
AUBU-GEAR,AUBURN GEAR,,COMPSET1
AUBU-IGNI,AUBURN IGNITION PRODUCTS,,COMPSET1
AUER-SIGNAL,Auer Signal GmbH,,COMPSET1
AURO-BEAR,AURORA BEARING COMPANY,,COMPSET1
AURORA,AURORA,,COMPSET1
AURORA-PUMP,AURORA PUMP,,COMPSET1
AUSTIN-HARD,AUSTIN HARDWARE & SUPPLY,,COMPSET1
AUTEL,AUTEL S.R.L,,COMPSET1
AUTO-DIRE,AUTOMATION DIRECT,,COMPSET1
AUTO-PROD,"AUTOMATION PRODUCTS GROUP,INC (APG",,COMPSET1
AUTO-TIMI,AUTOMATIC TIMING CONTROLS,,COMPSET1
AUTO-VALV,AUTOMATIC VALVE CORP,,COMPSET1
AUTOFLAME,AUTOFLAME,,COMPSET1
AUTOLINE,AUTOLINE,,COMPSET1
AUTOLITE,AUTOLITE,,COMPSET1
AUTORUN,AUTORUN,,COMPSET1
AUTOTROL,AUTOTROL,,COMPSET1
AVANI,AVANI ENVIRONMENTAL,,COMPSET1
AVEN-TOOL,AVEN TOOLS,,COMPSET1
AVENTICS,AVENTICS,,COMPSET1
AVERT,AVERT,,COMPSET1
AVITEQ,AViTEQ Vibrationstechnik GmbH,,COMPSET1
AVMOR,AVMOR LTD.,,COMPSET1
AVTRON,AVTRON,,COMPSET1
AW-ENTE,A.W. ENTERPRISES,,COMPSET1
AW-LAKE,AW LAKE COMPANY (AW GEAR METERS BRAND),,COMPSET1
AX-USA,AX-USA,,COMPSET1
