IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIA0001Y1LUBM,0,9057891,1,ITEMSET1
IKO-CAD,GI,GIC7320Y1PEMM,0,9113239,1,ITEMSET1
IKO-CAD,GI,GIH6572W1INRM,0,9090625,2,ITEMSET1
IKO-CAD,GI,GIR3446LC1M,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3446LC1M,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIC7320M6LC1M,0,9108537,1,ITEMSET1
IKO-CAD,GI,GIR3546LC1M,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3546LC1M,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3746LC1M,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3746LC1M,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR3646LC1M,0,9036803,1,ITEMSET1
IKO-CAD,GI,GIR3646LC1M,0,9044235,9,ITEMSET1
IKO-CAD,GI,GIR2280PEMO1,0,9105077,1,ITEMSET1
IKO-CAD,GI,GIR2280PEMO,0,9111078,1,ITEMSET1
IKO-CAD,GI,GIR2280PEMO2,0,9105078,1,ITEMSET1
IKO-CAD,GI,GIH6675Y1PPMM1,0,9050621,1,ITEMSET1
IKO-CAD,GI,GIR0001W1LUBM1,0,9058531,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO3,0,9046571,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO3,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO3,0,9107221,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO2,0,9046571,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO2,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO2,0,9107221,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO1,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO1,0,9046581,1,ITEMSET1
IKO-CAD,GI,GIR3787PEMO1,0,9107221,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO6,0,9092526,1,ITEMSET1
