C1070,3 Tab Sealant Area Hoist,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1071,Pattern Cutter Cutting Cylinder Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1098,Maintenance Shop Overhead Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1115,Mod Line Coater Crane 1 (North),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1116,Mod Line Coater Crane 2 (South),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1121,Mod Line Backing Film Station 1 Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1122,Mod Line Backing Film Station 2 Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1123,Mod Line Backing Film Station 3 Crane,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1131,Lift Device (Chain and Fixture),http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1050 Overhead Cranes Hoists.pdf,,C1050 Overhead Cranes Hoists.pdf
C1502,Sprinkler Security System,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1500 Alarm Telecommunications Network Systems.pdf,,C1500 Alarm Telecommunications Network Systems.pdf
C1503,Security System,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1500 Alarm Telecommunications Network Systems.pdf,,C1500 Alarm Telecommunications Network Systems.pdf
C1504,Fire Alarm Security System,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1500 Alarm Telecommunications Network Systems.pdf,,C1500 Alarm Telecommunications Network Systems.pdf
C1506,Desktop PC's,http://operations.connect.na.local/support/Reliability/IKOSumas/Sumas Asset Documents/C1500 Alarm Telecommunications Network Systems.pdf,,C1500 Alarm Telecommunications Network Systems.pdf
