C1183,Rail and Trolley 16 (Above Adhesive and WS Pumps),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cranes_And_Hoists.pdf,,Cranes_And_Hoists.pdf,,,,,
C1501,Server Farm,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Alarm_Telecommunications_Network.pdf,,Alarm_Telecommunications_Network.pdf,,,,,
C1504,Fire Alarm Security System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Alarm_Telecommunications_Network.pdf,,Alarm_Telecommunications_Network.pdf,,,,,
C1520,Process Monitoring Camera System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Alarm_Telecommunications_Network.pdf,,Alarm_Telecommunications_Network.pdf,,,,,
C1530,Natural Gas Line System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Wilmington_Plant_Layout.pdf,,Wilmington_Plant_Layout.pdf,,,,,
C1668,Cooling Water Supply Tank,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1673,Cooling Water Transfer Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1695,Cooling Water Piping System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1720,CS Spray Water Tank,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1720,CS Spray Water Tank,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1730,CS Spray Water Tank Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1730,CS Spray Water Tank Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1740,CS Spray Water Filters,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1740,CS Spray Water Filters,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1770,CS Water Pit Pump A,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1772,CS Water Pit Pump B,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1799,CS Dredger (Clarifier),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1799,CS Dredger (Clarifier),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1799,CS Dredger (Clarifier),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1820,CS Dredger Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1820,CS Dredger Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1836,CS Dredger Pump Station Tank (City Spray Makeup Water),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1840,CS Dredger Piping System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1888,CS Cooling Tower,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cooling_Tower_Process.PDF,,Cooling_Tower_Process.PDF,,,,,
C1902,CS Cooling Tower Piping System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cooling_Tower_Process.PDF,,Cooling_Tower_Process.PDF,,,,,
C1905,CS Roll Pump (City Spray Makeup Water),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/WaterSpraySystem.pdf,,WaterSpraySystem.pdf,,,,,
C1913,CS Roll Supply Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cooling_Tower_Process.PDF,,Cooling_Tower_Process.PDF,,,,,
C1926,CS Water Return Tank Transfer Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cooling_Tower_Process.PDF,,Cooling_Tower_Process.PDF,,,,,
C1930,CS Water Supply Tank,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Cooling_Tower_Process.PDF,,Cooling_Tower_Process.PDF,,,,,
C1980,Laminator Sump Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/CTL_System.pdf,,CTL_System.pdf,,,,,
C1982,Pattern Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C1984,CTL Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/CTL_System.pdf,,CTL_System.pdf,,,,,
C1984,CTL Cutter Sump Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Process_Water_System.pdf,,Process_Water_System.pdf,,,,,
C2003,HOS Heater,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2010,HOS Oil Storage Tank (Bulk),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2015,HOS Transfer Pump (Expansion Tank),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2020,HOS Expansion Tank,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2030,HOS Circulation Pump (Feed) (Main),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2035,HOS Booster Pump (Laminator Feed),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2036,HOS Booster Pump (Coater Tempered Loop),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2037,HOS Booster Pump (Filler Heater),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2040,HOS Piping System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Hot_Oil_System.pdf,,Hot_Oil_System.pdf,,,,,
C2421,Steam Generator/Boiler,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_System.pdf,,Steam_System.pdf,,,,,
C2423,Steam Generator/Boiler Blower,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_System.pdf,,Steam_System.pdf,,,,,
C2425,Steam Generator/Boiler Circulating Pump,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_System.pdf,,Steam_System.pdf,,,,,
C2515,Steam Water Conditioning System,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_System.pdf,,Steam_System.pdf,,,,,
C2550,Steam System Piping Zone,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Steam_System.pdf,,Steam_System.pdf,,,,,
C3002,CAGS Air Compressor (Main),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3040,CAGS Compressed Air Receiver Tank (Accumulation),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3055,CAGS Compressed Air Drier,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3122,CAGS Air Compressor (Secondary),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3135,CAGS Compressed Air Drier (Secondary),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3153,CAGS Air Compressor  (Oxidizer),http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Compressed_Air_System.pdf,,Compressed_Air_System.pdf,,,,,
C3200,Mechanical Maintenance Shop Equipment,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Wilmington_Plant_Layout.pdf,,Wilmington_Plant_Layout.pdf,,,,,
C3400,Electrical Maintenance Shop Equipment,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Wilmington_Plant_Layout.pdf,,Wilmington_Plant_Layout.pdf,,,,,
C3502,Forklift 1,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Forklifts.pdf,,Forklifts.pdf,,,,,
C3503,Forklift 2,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Forklifts.pdf,,Forklifts.pdf,,,,,
C3504,Forklift 3,http://operations.connect.na.local/support/Reliability/IKOWilmington/PlantAssetDocs/Forklifts.pdf,,Forklifts.pdf,,,,,
